
Host: hrgrimsl-XPS-13-9370

Timers On : Mon Sep 21 19:11:55 2020
Timers Off: Mon Sep 21 19:11:55 2020

Wall Time:        0.78 seconds

Total PK formation time     :      0.017u      0.000s      0.010w      1 calls
HF: Form H                  :      0.000u      0.000s      0.001w      1 calls
HF: Form S/X                :      0.000u      0.000s      0.000w      1 calls
HF: Guess                   :      0.000u      0.000s      0.000w      1 calls
HF: Form G                  :      0.000u      0.000s      0.000w      2 calls
JK: D                       :      0.000u      0.000s      0.000w      2 calls
JK: USO2AO                  :      0.000u      0.000s      0.000w      2 calls
JK: JK                      :      0.000u      0.000s      0.000w      2 calls
PK computes JK              :      0.000u      0.000s      0.000w      2 calls
JK: AO2USO                  :      0.000u      0.000s      0.000w      2 calls
HF: Form F                  :      0.000u      0.000s      0.000w      2 calls
HF: DIIS                    :      0.000u      0.000s      0.001w      2 calls
DIISManager::add_entry      :      0.000u      0.000s      0.000w      2 calls
DIISManager::extrapolate    :      0.000u      0.000s      0.000w      1 calls
bMatrix setup               :      0.000u      0.000s      0.000w      1 calls
bMatrix pseudoinverse       :      0.000u      0.000s      0.000w      1 calls
New vector                  :      0.000u      0.000s      0.000w      1 calls
HF: Form C                  :      0.000u      0.000s      0.000w      2 calls
HF: Form D                  :      0.000u      0.000s      0.000w      2 calls

-----------------------------------------------------------
Total PK formation time     :      0.017u      0.000s      0.010w      1 calls
HF: Form H                  :      0.000u      0.000s      0.001w      1 calls
HF: Form S/X                :      0.000u      0.000s      0.000w      1 calls
HF: Guess                   :      0.000u      0.000s      0.000w      1 calls
HF: Form G                  :      0.000u      0.000s      0.000w      2 calls
| JK: D                     :      0.000u      0.000s      0.000w      2 calls
| JK: USO2AO                :      0.000u      0.000s      0.000w      2 calls
| JK: JK                    :      0.000u      0.000s      0.000w      2 calls
| | PK computes JK          :      0.000u      0.000s      0.000w      2 calls
| JK: AO2USO                :      0.000u      0.000s      0.000w      2 calls
HF: Form F                  :      0.000u      0.000s      0.000w      2 calls
HF: DIIS                    :      0.000u      0.000s      0.001w      2 calls
| DIISManager::add_entry    :      0.000u      0.000s      0.000w      2 calls
| DIISManager::extrapolate  :      0.000u      0.000s      0.000w      1 calls
| | bMatrix setup           :      0.000u      0.000s      0.000w      1 calls
| | bMatrix pseudoinverse   :      0.000u      0.000s      0.000w      1 calls
| | New vector              :      0.000u      0.000s      0.000w      1 calls
HF: Form C                  :      0.000u      0.000s      0.000w      2 calls
HF: Form D                  :      0.000u      0.000s      0.000w      2 calls

***********************************************************

Host: hrgrimsl-XPS-13-9370

Timers On : Mon Sep 21 19:12:18 2020
Timers Off: Mon Sep 21 19:12:19 2020

Wall Time:        0.83 seconds

Total PK formation time     :      0.017u      0.000s      0.011w      1 calls
HF: Form H                  :      0.000u      0.000s      0.001w      1 calls
HF: Form S/X                :      0.000u      0.000s      0.000w      1 calls
HF: Guess                   :      0.000u      0.000s      0.000w      1 calls
HF: Form G                  :      0.000u      0.000s      0.000w      2 calls
JK: D                       :      0.000u      0.000s      0.000w      2 calls
JK: USO2AO                  :      0.000u      0.000s      0.000w      2 calls
JK: JK                      :      0.000u      0.000s      0.000w      2 calls
PK computes JK              :      0.000u      0.000s      0.000w      2 calls
JK: AO2USO                  :      0.000u      0.000s      0.000w      2 calls
HF: Form F                  :      0.000u      0.000s      0.000w      2 calls
HF: DIIS                    :      0.000u      0.000s      0.000w      2 calls
DIISManager::add_entry      :      0.000u      0.000s      0.000w      2 calls
DIISManager::extrapolate    :      0.000u      0.000s      0.000w      1 calls
bMatrix setup               :      0.000u      0.000s      0.000w      1 calls
bMatrix pseudoinverse       :      0.000u      0.000s      0.000w      1 calls
New vector                  :      0.000u      0.000s      0.000w      1 calls
HF: Form C                  :      0.000u      0.000s      0.000w      2 calls
HF: Form D                  :      0.000u      0.000s      0.000w      2 calls

-----------------------------------------------------------
Total PK formation time     :      0.017u      0.000s      0.011w      1 calls
HF: Form H                  :      0.000u      0.000s      0.001w      1 calls
HF: Form S/X                :      0.000u      0.000s      0.000w      1 calls
HF: Guess                   :      0.000u      0.000s      0.000w      1 calls
HF: Form G                  :      0.000u      0.000s      0.000w      2 calls
| JK: D                     :      0.000u      0.000s      0.000w      2 calls
| JK: USO2AO                :      0.000u      0.000s      0.000w      2 calls
| JK: JK                    :      0.000u      0.000s      0.000w      2 calls
| | PK computes JK          :      0.000u      0.000s      0.000w      2 calls
| JK: AO2USO                :      0.000u      0.000s      0.000w      2 calls
HF: Form F                  :      0.000u      0.000s      0.000w      2 calls
HF: DIIS                    :      0.000u      0.000s      0.000w      2 calls
| DIISManager::add_entry    :      0.000u      0.000s      0.000w      2 calls
| DIISManager::extrapolate  :      0.000u      0.000s      0.000w      1 calls
| | bMatrix setup           :      0.000u      0.000s      0.000w      1 calls
| | bMatrix pseudoinverse   :      0.000u      0.000s      0.000w      1 calls
| | New vector              :      0.000u      0.000s      0.000w      1 calls
HF: Form C                  :      0.000u      0.000s      0.000w      2 calls
HF: Form D                  :      0.000u      0.000s      0.000w      2 calls

***********************************************************

Host: hrgrimsl-XPS-13-9370

Timers On : Mon Sep 21 19:16:10 2020
Timers Off: Mon Sep 21 19:16:10 2020

Wall Time:        0.33 seconds


-----------------------------------------------------------

***********************************************************

Host: hrgrimsl-XPS-13-9370

Timers On : Mon Sep 21 19:18:07 2020
Timers Off: Mon Sep 21 19:18:08 2020

Wall Time:        0.35 seconds


-----------------------------------------------------------

***********************************************************

Host: hrgrimsl-XPS-13-9370

Timers On : Mon Sep 21 19:19:59 2020
Timers Off: Mon Sep 21 19:19:59 2020

Wall Time:        0.44 seconds

Total PK formation time     :      0.000u      0.000s      0.007w      1 calls
HF: Form H                  :      0.000u      0.000s      0.000w      1 calls
HF: Form S/X                :      0.000u      0.000s      0.000w      1 calls
HF: Guess                   :      0.000u      0.000s      0.000w      1 calls
HF: Form G                  :      0.000u      0.000s      0.000w      2 calls
JK: D                       :      0.000u      0.000s      0.000w      2 calls
JK: USO2AO                  :      0.000u      0.000s      0.000w      2 calls
JK: JK                      :      0.000u      0.000s      0.000w      2 calls
PK computes JK              :      0.000u      0.000s      0.000w      2 calls
JK: AO2USO                  :      0.000u      0.000s      0.000w      2 calls
HF: Form F                  :      0.000u      0.000s      0.000w      2 calls
HF: DIIS                    :      0.000u      0.000s      0.000w      2 calls
DIISManager::add_entry      :      0.000u      0.000s      0.000w      2 calls
DIISManager::extrapolate    :      0.000u      0.000s      0.000w      1 calls
bMatrix setup               :      0.000u      0.000s      0.000w      1 calls
bMatrix pseudoinverse       :      0.000u      0.000s      0.000w      1 calls
New vector                  :      0.000u      0.000s      0.000w      1 calls
HF: Form C                  :      0.000u      0.000s      0.000w      2 calls
HF: Form D                  :      0.000u      0.000s      0.000w      2 calls

-----------------------------------------------------------
Total PK formation time     :      0.000u      0.000s      0.007w      1 calls
HF: Form H                  :      0.000u      0.000s      0.000w      1 calls
HF: Form S/X                :      0.000u      0.000s      0.000w      1 calls
HF: Guess                   :      0.000u      0.000s      0.000w      1 calls
HF: Form G                  :      0.000u      0.000s      0.000w      2 calls
| JK: D                     :      0.000u      0.000s      0.000w      2 calls
| JK: USO2AO                :      0.000u      0.000s      0.000w      2 calls
| JK: JK                    :      0.000u      0.000s      0.000w      2 calls
| | PK computes JK          :      0.000u      0.000s      0.000w      2 calls
| JK: AO2USO                :      0.000u      0.000s      0.000w      2 calls
HF: Form F                  :      0.000u      0.000s      0.000w      2 calls
HF: DIIS                    :      0.000u      0.000s      0.000w      2 calls
| DIISManager::add_entry    :      0.000u      0.000s      0.000w      2 calls
| DIISManager::extrapolate  :      0.000u      0.000s      0.000w      1 calls
| | bMatrix setup           :      0.000u      0.000s      0.000w      1 calls
| | bMatrix pseudoinverse   :      0.000u      0.000s      0.000w      1 calls
| | New vector              :      0.000u      0.000s      0.000w      1 calls
HF: Form C                  :      0.000u      0.000s      0.000w      2 calls
HF: Form D                  :      0.000u      0.000s      0.000w      2 calls

***********************************************************

Host: hrgrimsl-XPS-13-9370

Timers On : Mon Sep 21 19:20:37 2020
Timers Off: Mon Sep 21 19:20:38 2020

Wall Time:        0.47 seconds

Total PK formation time     :      0.017u      0.000s      0.017w      1 calls
HF: Form H                  :      0.000u      0.000s      0.001w      1 calls
HF: Form S/X                :      0.000u      0.000s      0.000w      1 calls
HF: Guess                   :      0.000u      0.000s      0.000w      1 calls
HF: Form G                  :      0.000u      0.000s      0.000w      2 calls
JK: D                       :      0.000u      0.000s      0.000w      2 calls
JK: USO2AO                  :      0.000u      0.000s      0.000w      2 calls
JK: JK                      :      0.000u      0.000s      0.000w      2 calls
PK computes JK              :      0.000u      0.000s      0.000w      2 calls
JK: AO2USO                  :      0.000u      0.000s      0.000w      2 calls
HF: Form F                  :      0.000u      0.000s      0.000w      2 calls
HF: DIIS                    :      0.000u      0.000s      0.000w      2 calls
DIISManager::add_entry      :      0.000u      0.000s      0.000w      2 calls
DIISManager::extrapolate    :      0.000u      0.000s      0.000w      1 calls
bMatrix setup               :      0.000u      0.000s      0.000w      1 calls
bMatrix pseudoinverse       :      0.000u      0.000s      0.000w      1 calls
New vector                  :      0.000u      0.000s      0.000w      1 calls
HF: Form C                  :      0.000u      0.000s      0.000w      2 calls
HF: Form D                  :      0.000u      0.000s      0.000w      2 calls

-----------------------------------------------------------
Total PK formation time     :      0.017u      0.000s      0.017w      1 calls
HF: Form H                  :      0.000u      0.000s      0.001w      1 calls
HF: Form S/X                :      0.000u      0.000s      0.000w      1 calls
HF: Guess                   :      0.000u      0.000s      0.000w      1 calls
HF: Form G                  :      0.000u      0.000s      0.000w      2 calls
| JK: D                     :      0.000u      0.000s      0.000w      2 calls
| JK: USO2AO                :      0.000u      0.000s      0.000w      2 calls
| JK: JK                    :      0.000u      0.000s      0.000w      2 calls
| | PK computes JK          :      0.000u      0.000s      0.000w      2 calls
| JK: AO2USO                :      0.000u      0.000s      0.000w      2 calls
HF: Form F                  :      0.000u      0.000s      0.000w      2 calls
HF: DIIS                    :      0.000u      0.000s      0.000w      2 calls
| DIISManager::add_entry    :      0.000u      0.000s      0.000w      2 calls
| DIISManager::extrapolate  :      0.000u      0.000s      0.000w      1 calls
| | bMatrix setup           :      0.000u      0.000s      0.000w      1 calls
| | bMatrix pseudoinverse   :      0.000u      0.000s      0.000w      1 calls
| | New vector              :      0.000u      0.000s      0.000w      1 calls
HF: Form C                  :      0.000u      0.000s      0.000w      2 calls
HF: Form D                  :      0.000u      0.000s      0.000w      2 calls

***********************************************************

Host: hrgrimsl-XPS-13-9370

Timers On : Mon Sep 21 19:21:18 2020
Timers Off: Mon Sep 21 19:21:18 2020

Wall Time:        0.45 seconds

Total PK formation time     :      0.000u      0.000s      0.006w      1 calls
HF: Form H                  :      0.000u      0.000s      0.000w      1 calls
HF: Form S/X                :      0.000u      0.000s      0.000w      1 calls
HF: Guess                   :      0.000u      0.000s      0.000w      1 calls
HF: Form G                  :      0.000u      0.000s      0.000w      2 calls
JK: D                       :      0.000u      0.000s      0.000w      2 calls
JK: USO2AO                  :      0.000u      0.000s      0.000w      2 calls
JK: JK                      :      0.000u      0.000s      0.000w      2 calls
PK computes JK              :      0.000u      0.000s      0.000w      2 calls
JK: AO2USO                  :      0.000u      0.000s      0.000w      2 calls
HF: Form F                  :      0.000u      0.000s      0.000w      2 calls
HF: DIIS                    :      0.000u      0.000s      0.000w      2 calls
DIISManager::add_entry      :      0.000u      0.000s      0.000w      2 calls
DIISManager::extrapolate    :      0.000u      0.000s      0.000w      1 calls
bMatrix setup               :      0.000u      0.000s      0.000w      1 calls
bMatrix pseudoinverse       :      0.000u      0.000s      0.000w      1 calls
New vector                  :      0.000u      0.000s      0.000w      1 calls
HF: Form C                  :      0.000u      0.000s      0.000w      2 calls
HF: Form D                  :      0.000u      0.000s      0.000w      2 calls

-----------------------------------------------------------
Total PK formation time     :      0.000u      0.000s      0.006w      1 calls
HF: Form H                  :      0.000u      0.000s      0.000w      1 calls
HF: Form S/X                :      0.000u      0.000s      0.000w      1 calls
HF: Guess                   :      0.000u      0.000s      0.000w      1 calls
HF: Form G                  :      0.000u      0.000s      0.000w      2 calls
| JK: D                     :      0.000u      0.000s      0.000w      2 calls
| JK: USO2AO                :      0.000u      0.000s      0.000w      2 calls
| JK: JK                    :      0.000u      0.000s      0.000w      2 calls
| | PK computes JK          :      0.000u      0.000s      0.000w      2 calls
| JK: AO2USO                :      0.000u      0.000s      0.000w      2 calls
HF: Form F                  :      0.000u      0.000s      0.000w      2 calls
HF: DIIS                    :      0.000u      0.000s      0.000w      2 calls
| DIISManager::add_entry    :      0.000u      0.000s      0.000w      2 calls
| DIISManager::extrapolate  :      0.000u      0.000s      0.000w      1 calls
| | bMatrix setup           :      0.000u      0.000s      0.000w      1 calls
| | bMatrix pseudoinverse   :      0.000u      0.000s      0.000w      1 calls
| | New vector              :      0.000u      0.000s      0.000w      1 calls
HF: Form C                  :      0.000u      0.000s      0.000w      2 calls
HF: Form D                  :      0.000u      0.000s      0.000w      2 calls

***********************************************************

Host: hrgrimsl-XPS-13-9370

Timers On : Mon Sep 21 19:21:40 2020
Timers Off: Mon Sep 21 19:21:41 2020

Wall Time:        0.47 seconds

Total PK formation time     :      0.033u      0.000s      0.019w      1 calls
HF: Form H                  :      0.000u      0.000s      0.001w      1 calls
HF: Form S/X                :      0.000u      0.000s      0.000w      1 calls
HF: Guess                   :      0.000u      0.000s      0.000w      1 calls
HF: Form G                  :      0.000u      0.000s      0.000w      2 calls
JK: D                       :      0.000u      0.000s      0.000w      2 calls
JK: USO2AO                  :      0.000u      0.000s      0.000w      2 calls
JK: JK                      :      0.000u      0.000s      0.000w      2 calls
PK computes JK              :      0.000u      0.000s      0.000w      2 calls
JK: AO2USO                  :      0.000u      0.000s      0.000w      2 calls
HF: Form F                  :      0.000u      0.000s      0.000w      2 calls
HF: DIIS                    :      0.000u      0.000s      0.000w      2 calls
DIISManager::add_entry      :      0.000u      0.000s      0.000w      2 calls
DIISManager::extrapolate    :      0.000u      0.000s      0.000w      1 calls
bMatrix setup               :      0.000u      0.000s      0.000w      1 calls
bMatrix pseudoinverse       :      0.000u      0.000s      0.000w      1 calls
New vector                  :      0.000u      0.000s      0.000w      1 calls
HF: Form C                  :      0.000u      0.000s      0.000w      2 calls
HF: Form D                  :      0.000u      0.000s      0.000w      2 calls

-----------------------------------------------------------
Total PK formation time     :      0.033u      0.000s      0.019w      1 calls
HF: Form H                  :      0.000u      0.000s      0.001w      1 calls
HF: Form S/X                :      0.000u      0.000s      0.000w      1 calls
HF: Guess                   :      0.000u      0.000s      0.000w      1 calls
HF: Form G                  :      0.000u      0.000s      0.000w      2 calls
| JK: D                     :      0.000u      0.000s      0.000w      2 calls
| JK: USO2AO                :      0.000u      0.000s      0.000w      2 calls
| JK: JK                    :      0.000u      0.000s      0.000w      2 calls
| | PK computes JK          :      0.000u      0.000s      0.000w      2 calls
| JK: AO2USO                :      0.000u      0.000s      0.000w      2 calls
HF: Form F                  :      0.000u      0.000s      0.000w      2 calls
HF: DIIS                    :      0.000u      0.000s      0.000w      2 calls
| DIISManager::add_entry    :      0.000u      0.000s      0.000w      2 calls
| DIISManager::extrapolate  :      0.000u      0.000s      0.000w      1 calls
| | bMatrix setup           :      0.000u      0.000s      0.000w      1 calls
| | bMatrix pseudoinverse   :      0.000u      0.000s      0.000w      1 calls
| | New vector              :      0.000u      0.000s      0.000w      1 calls
HF: Form C                  :      0.000u      0.000s      0.000w      2 calls
HF: Form D                  :      0.000u      0.000s      0.000w      2 calls

***********************************************************

Host: hrgrimsl-XPS-13-9370

Timers On : Mon Sep 21 19:21:55 2020
Timers Off: Mon Sep 21 19:21:56 2020

Wall Time:        0.44 seconds

Total PK formation time     :      0.017u      0.000s      0.006w      1 calls
HF: Form H                  :      0.000u      0.000s      0.000w      1 calls
HF: Form S/X                :      0.000u      0.000s      0.000w      1 calls
HF: Guess                   :      0.000u      0.000s      0.000w      1 calls
HF: Form G                  :      0.000u      0.000s      0.000w      2 calls
JK: D                       :      0.000u      0.000s      0.000w      2 calls
